"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","553","Login with correct email and password","LMS service","Mon Mar 30 19:33:34 UTC 2026","passed","Mon Mar 30 19:33:35 UTC 2026","Login","Authentication","",""
"","269","Create file with empty directory","LMS service","Mon Mar 30 19:33:42 UTC 2026","passed","Mon Mar 30 19:33:42 UTC 2026","Validate entity","Files","",""
"","13","Get user me","LMS service","Mon Mar 30 19:33:44 UTC 2026","passed","Mon Mar 30 19:33:44 UTC 2026","Get entity","Users","",""
"","19","Delete file","LMS service","Mon Mar 30 19:33:42 UTC 2026","passed","Mon Mar 30 19:33:42 UTC 2026","Delete entity","Files","",""
"","527","Create user","LMS service","Mon Mar 30 19:33:43 UTC 2026","passed","Mon Mar 30 19:33:44 UTC 2026","Create entity","Users","",""
"","25","Get courses","LMS service","Mon Mar 30 19:33:36 UTC 2026","passed","Mon Mar 30 19:33:36 UTC 2026","Get entities","Courses","",""
"","291","Create user","LMS service","Mon Mar 30 19:33:43 UTC 2026","passed","Mon Mar 30 19:33:43 UTC 2026","Create entity","Users","",""
"","14","Get file","LMS service","Mon Mar 30 19:33:41 UTC 2026","passed","Mon Mar 30 19:33:41 UTC 2026","Get entity","Files","",""
"","34","Create course","LMS service","Mon Mar 30 19:33:35 UTC 2026","passed","Mon Mar 30 19:33:35 UTC 2026","Create entity","Courses","",""
"","19","Update exercise","LMS service","Mon Mar 30 19:33:37 UTC 2026","passed","Mon Mar 30 19:33:37 UTC 2026","Update entity","Exercises","",""
"","41","Create file with empty filename","LMS service","Mon Mar 30 19:33:41 UTC 2026","passed","Mon Mar 30 19:33:41 UTC 2026","Validate entity","Files","",""
"","47","Create file","LMS service","Mon Mar 30 19:33:40 UTC 2026","passed","Mon Mar 30 19:33:40 UTC 2026","Create entity","Files","",""
"","21","Create exercise","LMS service","Mon Mar 30 19:33:37 UTC 2026","passed","Mon Mar 30 19:33:37 UTC 2026","Create entity","Exercises","",""
"","18","Get exercise","LMS service","Mon Mar 30 19:33:38 UTC 2026","passed","Mon Mar 30 19:33:38 UTC 2026","Get entity","Exercises","",""
"","18","Get exercises","LMS service","Mon Mar 30 19:33:40 UTC 2026","passed","Mon Mar 30 19:33:40 UTC 2026","Get entities","Exercises","",""
"","522","Create user","LMS service","Mon Mar 30 19:33:43 UTC 2026","passed","Mon Mar 30 19:33:43 UTC 2026","Create entity","Users","",""
"","16","Get file with incorrect file id","LMS service","Mon Mar 30 19:33:43 UTC 2026","passed","Mon Mar 30 19:33:43 UTC 2026","Validate entity","Files","",""
"","31","Update course","LMS service","Mon Mar 30 19:33:36 UTC 2026","passed","Mon Mar 30 19:33:36 UTC 2026","Update entity","Courses","",""
"","19","Delete exercise","LMS service","Mon Mar 30 19:33:38 UTC 2026","passed","Mon Mar 30 19:33:38 UTC 2026","Delete entity","Exercises","",""
